species	habitat	feeding_mode	trophic_level	offspring_size	spawning_type	age_maturity	fecundity	length_infinity	growth_coefficient	length_max	age_max	length_infinity	relative_growth_rate	weight_infinity	maximum_age	age_at_maturity	Length_at_maturity	generation_time
Abramis_brama	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68,32319458	0,121357571	5097,002297	14,26258109	3,83061191	32,92835884	108962,9237
Acantholabrus_palloni	reef-associated	benthivorous	3,5	0,91	guarder	3,2	160631	28	0,2	25	16	28,20702692	0,326795384	322,5687438	9,213630428	2,291283584	15,01896242	315,6994471
Acipenser_sturio	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	297,5810347	0,046484716	153511,4447	56,72031132	18,5502035	145,1499632	2,51484E+16
Agonus_cataphractus	demersal	benthivorous	3,43	2	non-guarder	3	2550	15	0,47	21	1	14,69414833	0,538153188	23,23376251	3,548341528	1,212802232	8,708255441	12,56168859
Alburnus_alburnus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18,59408369	0,297693442	124,4302311	9,756074495	2,201225875	9,948959378	433,1106379
Aldrovandia_affinis	benthopelagic	benthivorous	3,3	NA	non-guarder	NA	NA	61	0,39	55	36	33,21824387	0,351773428	307,2514685	7,473380106	2,173158653	18,52084639	775,3405558
Aldrovandia_phalacra	benthopelagic	generalist	3,17	NA	non-guarder	NA	NA	61	0,39	21	36	33,21824387	0,351773428	307,2514685	7,473380106	2,173158653	18,52084639	775,3405558
Alepocephalus_agassizii	bathydemersal	benthivorous	3,38	2,7	non-guarder	NA	3754	51	0,13	28	38	46,96211287	0,187404863	947,1400466	18,88562053	5,685570918	31,23631848	38273,64849
Alepocephalus_bairdii	bathydemersal	generalist	3,69	2,7	non-guarder	NA	3754	51	0,13	55	38	66,16022277	0,12395288	2844,893283	29,7148662	8,861653398	42,7389108	4407627,24
Alepocephalus_productus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46,96211287	0,187404863	947,1400466	18,88562053	5,685570918	31,23631848	38273,64849
Alepocephalus_rostratus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37,37520304	0,221973422	490,563233	16,27420907	4,910992523	25,00407061	4034,902023
Allocyttus_verrucosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46,14328001	0,100485742	1209,029835	28,78910952	8,953383652	26,78993638	393665070,5
Alopias_vulpinus	pelagic	generalist	4,5	1360	bearer	5,1	3	558	0,11	480	38	469,5369827	0,107430115	330528,1002	23,6167095	10,98414608	284,1429609	22321049,53
Alosa_alosa	pelagic	generalist	2,95	1	non-guarder	3,5	312500	70	0,32	65	10	67,13009106	0,281205902	3735,160924	10,15305	3,960519653	37,4315438	1031,089245
Alosa_fallax	pelagic	generalist	4,03	1	non-guarder	2,5	143750	52	0,33	43	25	47,50777335	0,298316189	1232,286135	11,11366226	3,820970322	26,83475189	1221,105624
Amblyraja_hyperborea	bathydemersal	benthivorous	4,31	102,5	non-guarder	11	30	68	0,15	45	24	93,44432329	0,123430041	3712,142799	17,1511316	8,148797922	56,96752652	4679624,512
Amblyraja_radiata	demersal	generalist	4,2	110	non-guarder	10,9	17	124	0,12	105	28	86,7759776	0,112411478	2984,378945	17,61038187	8,158255868	50,75664558	3282617,897
Ammodytes_marinus	benthopelagic	planktivorous	2,71	1,03	non-guarder	3,2	13133	25	0,16	21	10	18,59108595	0,503621776	38,95956074	7,902845765	1,728720008	13,15388892	34,63161246
Ammodytes_tobianus	demersal	planktivorous	3,08	0,85	non-guarder	1,5	13133	20	0,65	20	7	18,15464499	0,618607066	28,7535616	6,542715806	1,446384494	12,81291605	20,47210398
Anarhichas_lupus	demersal	benthivorous	3,55	6	non-guarder	9	25000	131	0,08	152	22	135,5819651	0,085321189	19241,84357	30,70115618	7,767531816	71,07385048	1623136560
Anarhichas_minor	demersal	benthivorous	3,62	3,35	guarder	8	19700	153	0,1	200	40	139,519605	0,091416409	17187,34192	28,38410356	7,228288601	74,4522429	514327739,3
Anguilla_anguilla	demersal	generalist	3,55	1,14	non-guarder	11	2500000	93	0,1	145	23	71,28985327	0,145864143	579,2241255	12,82213169	4,658795425	34,40161894	48775,70528
Anoplogaster_cornuta	bathypelagic	generalist	4,01	NA	non-guarder	NA	NA	15	0,86	18	NA	15,01403673	0,559973258	27,48904894	4,666118544	1,42872193	10,22182906	17,72120393
Anthias_anthias	reef-associated	generalist	3,75	0,84	non-guarder	1,1	937291	71	0,13	27	7	46,12056092	0,241625354	1234,77347	13,15729962	4,360262143	25,78485	5649,617962
Antimora_rostrata	bathydemersal	benthivorous	3,58	0,98	non-guarder	12,5	600000	64	0,09	80	25	68,53680634	0,14678841	2219,713228	17,68144803	5,042295558	39,64053762	74630,72638
Aphanopus_carbo	bathypelagic	piscivorous	4,48	1,74	non-guarder	4,5	500000	145	0,11	129	32	126,0874156	0,18621184	5460,333977	12,17151138	3,345409346	59,52538077	18081,98984
Aphia_minuta	benthopelagic	planktivorous	3,1	0,34	guarder	0,6	1792	5	2,23	8	0,7	5,660794584	1,550258206	0,967928181	1,598039151	0,366656264	3,303685491	2,949793489
Apletodon_dentatus	demersal	benthivorous	3,1	1,5	guarder	NA	195	4	0,79	4	1	7,610783336	0,886265923	3,686998944	3,163133112	0,886249576	4,728182513	11,58078471
Apristurus_aphyodes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	107,2646219	0,183307778	4886,588727	14,8122889	5,748418777	69,24459706	768473,8849
Apristurus_laurussonii	bathydemersal	generalist	3,89	60	non-guarder	3,5	1	46	0,38	76	8	107,2646219	0,183307778	4886,588727	14,8122889	5,748418777	69,24459706	768473,8849
