"species"	"trophic_level"
"1"	"Abramis_brama"	NA
"2"	"Acantholabrus_palloni"	3,5
"3"	"Acipenser_sturio"	NA
"4"	"Agonus_cataphractus"	3,43
"5"	"Alburnus_alburnus"	NA
"6"	"Aldrovandia_affinis"	3,3
"7"	"Aldrovandia_phalacra"	3,17
"8"	"Alepocephalus_agassizii"	3,38
"9"	"Alepocephalus_bairdii"	3,69
"10"	"Alepocephalus_productus"	NA
"11"	"Alepocephalus_rostratus"	NA
"12"	"Allocyttus_verrucosus"	NA
"13"	"Alopias_vulpinus"	4,5
"14"	"Alosa_alosa"	2,95
"15"	"Alosa_fallax"	4,03
"16"	"Amblyraja_hyperborea"	4,31
"17"	"Amblyraja_radiata"	4,2
"18"	"Ammodytes_marinus"	2,71
"19"	"Ammodytes_tobianus"	3,08
"20"	"Anarhichas_lupus"	3,55
"21"	"Anarhichas_minor"	3,62
"22"	"Anguilla_anguilla"	3,55
"23"	"Anoplogaster_cornuta"	4,01
"24"	"Anthias_anthias"	3,75
"25"	"Antimora_rostrata"	3,58
"26"	"Aphanopus_carbo"	4,48
"27"	"Aphia_minuta"	3,1
"28"	"Apletodon_dentatus"	3,1
"29"	"Apristurus_aphyodes"	NA
"30"	"Apristurus_laurussonii"	3,89
"31"	"Apristurus_microps"	NA
"32"	"Arctozenus_risso"	3,22
"33"	"Argentina_silus"	3,32
"34"	"Argentina_sphyraena"	3,62
"35"	"Argyropelecus_aculeatus"	3,67
"36"	"Argyropelecus_hemigymnus"	3,06
"37"	"Argyropelecus_olfersii"	3,36
"38"	"Argyrosomus_regius"	4,29
"39"	"Arnoglossus_imperialis"	3,84
"40"	"Arnoglossus_laterna"	3,59
"41"	"Arnoglossus_rueppelii"	4,03
"42"	"Arnoglossus_thori"	3,28
"43"	"Artediellus_atlanticus"	3,42
"44"	"Atherina_boyeri"	NA
"45"	"Atherina_presbyter"	3,67
"46"	"Balistes_capriscus"	4,06
"47"	"Bathypterois_dubius"	3,37
"48"	"Bathyraja_pallida"	NA
"49"	"Bathyraja_richardsoni"	NA
"50"	"Bathysaurus_ferox"	4,34
"51"	"Bathysolea_profundicola"	3,17
"52"	"Belone_belone"	4,16
"53"	"Benthocometes_robustus"	NA
"54"	"Benthosema_glaciale"	2,99
"55"	"Beryx_decadactylus"	4,13
"56"	"Beryx_splendens"	4,27
"57"	"Blennius_ocellaris"	3,49
"58"	"Blicca_bjoerkna"	NA
"59"	"Boops_boops"	2,79
"60"	"Borostomias_antarcticus"	3,6
"61"	"Brama_brama"	4,08
"62"	"Brosme_brosme"	3,9
"63"	"Buenia_jeffreysii"	3,62
"64"	"Buglossidium_luteum"	3,31
"65"	"Callanthias_ruber"	3,8
"66"	"Callionymus_lyra"	3,27
"67"	"Callionymus_maculatus"	3,31
"68"	"Callionymus_reticulatus"	3,28
"69"	"Capros_aper"	3,14
"70"	"Caranx_rhonchus"	4,06
"71"	"Cataetyx_laticeps"	3,39
"72"	"Centrolabrus_exoletus"	3,5
"73"	"Centrolophus_niger"	3,92
"74"	"Centrophorus_granulosus"	4,11
"75"	"Centrophorus_squamosus"	4,47
"76"	"Centroscyllium_fabricii"	3,84
"77"	"Centroscymnus_coelolepis"	4,48
"78"	"Cepola_macrophthalma"	3,13
"79"	"Ceratoscopelus_maderensis"	3,05
"80"	"Cetorhinus_maximus"	3,2
"81"	"Chauliodus_sloani"	4,2
"82"	"Chaunax_pictus"	4,3
"83"	"Chelidonichthys_cuculus"	3,81
"84"	"Chelidonichthys_obscurus"	3,74
"85"	"Chelon_labrosus"	2,59
"86"	"Chiasmodon_niger"	4,2
"87"	"Chimaera_monstrosa"	3,52
"88"	"Chirolophis_ascanii"	3,23
"89"	"Chlorophthalmus_agassizi"	3,66
"90"	"Ciliata_mustela"	3,5
"91"	"Ciliata_septentrionalis"	3,5
"92"	"Citharus_linguatula"	3,97
"93"	"Clupea_harengus"	3,38
"94"	"Coelorinchus_caelorhincus"	3,49
"95"	"Coelorinchus_labiatus"	3,95
"96"	"Conger_conger"	4,31
"97"	"Conocara_murrayi"	NA
"98"	"Coregonus_lavaretus"	3,13
"99"	"Coryphaenoides_guentheri"	3,26
"100"	"Coryphaenoides_mediterraneus"	NA
"101"	"Coryphaenoides_rupestris"	3,54
"102"	"Cottunculus_microps"	4,14
"103"	"Cottunculus_thomsonii"	3,5
"104"	"Cottus_gobio"	NA
"105"	"Crystallogobius_linearis"	3,4
"106"	"Ctenolabrus_rupestris"	3,58
"107"	"Cyclopterus_lumpus"	3,89
