Gear,Year,ICESrect,lon,lat,Datatype,Countriesincluded,Hourstrawling
Beam,1985,"""50F4""",4.5,60.75,Reconstructed,"BEL, DEU, DNK, ENG, FRA, NLD, NOR, SCO, WLS",343
Beam,1985,"""49E6""",-3.5,60.25,Reconstructed,"BEL, DEU, DNK, ENG, FRA, NLD, NOR, SCO, WLS",13
Beam,1985,"""46E7""",-2.5,58.75,Reconstructed,"BEL, DEU, DNK, ENG, FRA, NLD, NOR, SCO, WLS",120
Beam,1985,"""46F5""",5.5,58.75,Reconstructed,"BEL, DEU, DNK, ENG, FRA, NLD, NOR, SCO, WLS",11
Beam,1985,"""46F6""",6.5,58.75,Reconstructed,"BEL, DEU, DNK, ENG, FRA, NLD, NOR, SCO, WLS",3
Beam,1985,"""45E6""",-3.5,58.25,Reconstructed,"BEL, DEU, DNK, ENG, FRA, NLD, NOR, SCO, WLS",50
Beam,1985,"""45E8""",-1.5,58.25,Reconstructed,"BEL, DEU, DNK, ENG, FRA, NLD, NOR, SCO, WLS",55
Beam,1985,"""45F0""",0.5,58.25,Reconstructed,"BEL, DEU, DNK, ENG, FRA, NLD, NOR, SCO, WLS",40
Beam,1985,"""45F2""",2.5,58.25,Reconstructed,"BEL, DEU, DNK, ENG, FRA, NLD, NOR, SCO, WLS",30
Beam,1985,"""45F3""",3.5,58.25,Reconstructed,"BEL, DEU, DNK, ENG, FRA, NLD, NOR, SCO, WLS",362
Beam,1985,"""45F4""",4.5,58.25,Reconstructed,"BEL, DEU, DNK, ENG, FRA, NLD, NOR, SCO, WLS",41
Beam,1985,"""45F5""",5.5,58.25,Reconstructed,"BEL, DEU, DNK, ENG, FRA, NLD, NOR, SCO, WLS",27
Beam,1985,"""44E7""",-2.5,57.75,Reconstructed,"BEL, DEU, DNK, ENG, FRA, NLD, NOR, SCO, WLS",40
Beam,1985,"""44E8""",-1.5,57.75,Reconstructed,"BEL, DEU, DNK, ENG, FRA, NLD, NOR, SCO, WLS",662
Beam,1985,"""44F2""",2.5,57.75,Reconstructed,"BEL, DEU, DNK, ENG, FRA, NLD, NOR, SCO, WLS",27
